FarmID,State,District,Crop,Season,SoilType,IrrigationType,SoilNitrogen_kg_ha,SoilPhosphorus_kg_ha,SoilPotassium_kg_ha,SoilPH,OrganicCarbon_pct,Sulphur_ppm,Zinc_ppm,ElectricalConductivity_dS_m,Temperature_C,Humidity_pct,Rainfall_mm,FarmSize_acres,PreviousYield_kg_acre,YearsOfCultivation,NitrogenRecommendation_kg_acre,PhosphorusRecommendation_kg_acre,PotassiumRecommendation_kg_acre,ExpectedYieldImprovement_pct,EstimatedFertilizerCost_INR_acre,EstimatedFertilizerCost_INR_total
AP00001,Punjab,PUN-08,Wheat,Rabi,Clay,Drip,481,15,209,6.77,0.66,2.0,0.54,0.1,19.6,38.0,400,1.57,1876,6,15.9,19.2,7.7,8.1,1418,2226
AP00002,Punjab,PUN-24,Wheat,Rabi,Silt,Flood,560,23,350,7.06,0.81,12.0,1.44,1.2,20.3,45.9,462,1.3,1452,5,11.5,8.2,4.5,11.3,903,1173
AP00003,Punjab,PUN-10,Wheat,Rabi,Silt,Flood,227,7,51,6.98,0.64,12.0,0.49,1.32,28.0,46.4,556,0.84,1961,5,50.2,26.5,18.4,17.0,2521,2117
AP00004,Punjab,PUN-07,Wheat,Rabi,Clay,Flood,399,11,137,6.5,0.78,5.7,0.47,0.64,17.8,33.3,566,2.68,1413,5,18.1,24.4,12.1,16.7,1802,4829
AP00005,Punjab,PUN-08,Wheat,Rabi,Sandy,Flood,648,26,373,7.13,0.36,12.0,0.43,0.1,24.0,50.2,537,0.93,2085,19,14.1,8.2,4.9,3.0,976,907
AP00006,Punjab,PUN-02,Wheat,Rabi,Sandy,Sprinkler,233,6,105,6.82,0.94,7.3,0.26,,12.6,49.8,512,1.79,2131,1,45.7,28.1,12.1,20.5,2232,3995
AP00007,Punjab,PUN-12,Wheat,Rabi,Sandy,Flood,78,5,80,6.17,0.31,20.4,0.34,0.1,24.0,,555,1.0,1985,8,48.1,26.4,16.7,29.2,2278,2278
AP00008,Punjab,PUN-19,Wheat,Rabi,Loamy,Flood,299,19,279,7.32,0.43,5.5,1.42,1.26,17.9,35.7,504,1.14,1376,2,30.7,10.3,5.6,15.3,1171,1334
AP00009,Punjab,PUN-04,Wheat,Rabi,Silt,Rainfed,344,16,166,7.52,0.39,3.6,0.59,1.67,17.8,49.5,515,0.87,2488,7,29.3,12.3,13.7,13.5,1623,1412
AP00010,Punjab,PUN-07,Wheat,Rabi,Clay,Flood,871,33,280,6.78,1.03,12.8,0.85,0.79,22.9,43.5,556,5.1,2366,2,8.5,5.7,4.5,3.0,877,4472
